팀명,순위,점유율,xG,슈팅수,태클수,인터셉트
Manchester City,1,65.6,62.9,554,407,188
Arsenal,2,59.8,61.3,508,481,225
Liverpool,3,60.7,70.7,620,538,240
Aston Villa,4,54.7,54.9,447,466,208
Tottenham,5,61.2,54.6,478,603,293
Chelsea,6,58.8,57.7,413,531,237
Newcastle Utd,7,52.6,58.5,425,539,222
Manchester Utd,8,49.8,46.0,436,552,259
West Ham,9,41.2,45.1,375,574,312
Brighton,10,61.5,47.6,457,509,242
Wolves,11,48.4,41.4,361,598,247
Fulham,12,51.5,43.2,428,555,334
Bournemouth,13,45.2,45.4,428,582,282
Crystal Palace,14,41.5,35.5,346,615,265
Brentford,15,43.9,50.3,402,581,315
Everton,16,40.5,45.7,424,610,308
Nott'ham Forest,17,40.5,40.5,363,613,274
Luton Town,18,42.3,37.6,372,548,283
Burnley,19,46.8,31.8,344,506,229
Sheffield Utd,20,34.7,29.0,274,595,283
