team,season,xG,xGA,xPTS,PPDA,DC,실제득점,실제실점,실제승점,승,무,패,득실차,순위
Arsenal,25-26,72.35,31.93,74.71,10.28,321,68,26,79,24,7,5,42,1
Manchester City,25-26,76.71,42.34,72.24,11.13,383,75,32,77,23,8,5,43,2
Manchester United,25-26,65.57,47.73,59.24,11.35,262,63,48,65,18,11,7,15,3
Aston Villa,25-26,53.76,55.3,48.93,12.84,289,54,48,62,18,8,11,6,4
Liverpool,25-26,64.26,52.41,59.2,10.51,362,62,52,59,17,8,12,10,5
Bournemouth,25-26,63.78,53.44,57.76,10.75,258,56,52,55,13,16,7,4,6
Brighton,25-26,55.48,50.67,52.65,9.15,244,52,42,53,14,11,11,10,7
Brentford,25-26,63.25,54.29,55.6,11.54,226,52,49,51,14,9,13,3,8
Chelsea,25-26,70.2,53.63,57.84,10.4,263,55,49,49,13,10,13,6,9
Everton,25-26,48.28,57.31,44.45,14.76,205,46,46,49,13,10,13,0,10
Fulham,25-26,46.37,59.1,41.18,13.56,271,44,50,48,14,6,16,-6,11
Sunderland,25-26,39.52,58.09,38.36,13.85,198,37,46,48,12,12,12,-9,12
Newcastle United,25-26,58.24,54.63,52.31,10.62,249,50,52,46,13,7,16,-2,13
Leeds,25-26,57.07,51.36,55.21,13.0,192,48,53,44,10,14,12,-5,14
Crystal Palace,25-26,59.63,54.59,52.16,14.45,248,38,47,44,11,11,14,-9,15
Nottingham Forest,25-26,45.03,59.12,40.05,14.84,196,45,47,43,11,10,15,-2,16
Tottenham,25-26,43.24,54.23,44.56,11.13,197,46,55,38,9,11,16,-9,17
West Ham,25-26,45.95,64.03,41.03,15.02,170,42,62,36,9,9,18,-20,18
Burnley,25-26,35.46,78.51,23.48,14.09,148,37,73,21,4,9,23,-36,19
Wolverhampton Wanderers,25-26,34.1,65.54,31.66,14.16,163,25,66,18,3,9,24,-41,20
